sample_index,filename,filepath,true_class_id,true_label,keras_pred_id,keras_pred_label,keras_confidence,onnx_pred_id,onnx_pred_label,onnx_confidence,prediction_match,max_abs_diff,mean_abs_diff,cosine_similarity,is_non_batik
17,aug_0_8973.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-cendrawasih\aug_0_8973.jpeg,5,batik-cendrawasih,5,batik-cendrawasih,0.912786,5,batik-cendrawasih,0.912786,True,2.682209e-07,1.483816e-08,1.0,False
18,aug_0_9517.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-cendrawasih\aug_0_9517.jpeg,5,batik-cendrawasih,5,batik-cendrawasih,0.917391,5,batik-cendrawasih,0.917391,True,2.980232e-07,1.418396e-08,1.00000012,False
19,aug_0_483.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-ceplok\aug_0_483.jpeg,6,batik-ceplok,6,batik-ceplok,0.995676,6,batik-ceplok,0.995676,True,6.984919e-09,3.000498e-10,1.0,False
20,aug_0_6065.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-ceplok\aug_0_6065.jpeg,6,batik-ceplok,6,batik-ceplok,0.813395,6,batik-ceplok,0.813395,True,2.682209e-07,1.547223e-08,1.0,False
21,aug_0_8912.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-ceplok\aug_0_8912.jpeg,6,batik-ceplok,25,Lampung_Gajah,0.273363,25,Lampung_Gajah,0.273363,True,4.768372e-07,3.587625e-08,0.99999994,False
22,aug_0_5489.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-ciamis\aug_0_5489.jpeg,7,batik-ciamis,7,batik-ciamis,0.953519,7,batik-ciamis,0.953518,True,4.172325e-07,1.745476e-08,1.00000012,False
23,aug_0_4158.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-ciamis\aug_0_4158.jpeg,7,batik-ciamis,7,batik-ciamis,0.686888,7,batik-ciamis,0.686888,True,3.278255e-07,2.325053e-08,1.0,False
24,aug_0_3732.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-ciamis\aug_0_3732.jpeg,7,batik-ciamis,7,batik-ciamis,0.279536,7,batik-ciamis,0.279535,True,3.129244e-07,3.523878e-08,0.99999988,False
25,aug_0_3603.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-garutan\aug_0_3603.jpeg,8,batik-garutan,8,batik-garutan,0.990224,8,batik-garutan,0.990224,True,1.071021e-08,7.408438e-10,0.99999994,False
26,aug_0_865.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-garutan\aug_0_865.jpeg,8,batik-garutan,8,batik-garutan,0.976143,8,batik-garutan,0.976143,True,2.142042e-08,2.345581e-09,1.0,False
27,aug_0_7072.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-garutan\aug_0_7072.jpeg,8,batik-garutan,8,batik-garutan,0.985952,8,batik-garutan,0.985952,True,1.192093e-07,3.902181e-09,0.99999994,False
28,aug_0_861.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-gentongan\aug_0_861.jpeg,9,batik-gentongan,9,batik-gentongan,0.805327,9,batik-gentongan,0.805328,True,1.676381e-07,1.206955e-08,0.99999988,False
29,aug_0_7427.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-gentongan\aug_0_7427.jpeg,9,batik-gentongan,17,batik-sekar,0.600982,17,batik-sekar,0.600982,True,7.748604e-07,4.400224e-08,1.0,False
30,aug_0_9337.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-gentongan\aug_0_9337.jpeg,9,batik-gentongan,9,batik-gentongan,0.908321,9,batik-gentongan,0.908322,True,4.768372e-07,2.698953e-08,1.0,False
31,aug_0_6430.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-kawung\aug_0_6430.jpeg,10,batik-kawung,10,batik-kawung,0.988367,10,batik-kawung,0.988367,True,2.328306e-08,1.685214e-09,1.00000012,False
32,aug_0_4510.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-kawung\aug_0_4510.jpeg,10,batik-kawung,14,batik-parang,0.644149,14,batik-parang,0.644149,True,5.066395e-07,2.939576e-08,1.00000012,False
33,aug_0_2887.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-kawung\aug_0_2887.jpeg,10,batik-kawung,14,batik-parang,0.528464,14,batik-parang,0.528467,True,3.397465e-06,1.874469e-07,1.00000012,False
34,aug_0_9026.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-keraton\aug_0_9026.jpeg,11,batik-keraton,11,batik-keraton,0.845724,11,batik-keraton,0.845724,True,1.788139e-07,1.634882e-08,1.0,False
35,aug_0_6496.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-keraton\aug_0_6496.jpeg,11,batik-keraton,13,batik-megamendung,0.491366,13,batik-megamendung,0.491365,True,5.960464e-07,4.310802e-08,1.00000012,False
36,aug_0_6519.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-keraton\aug_0_6519.jpeg,11,batik-keraton,11,batik-keraton,0.486183,11,batik-keraton,0.486182,True,3.576279e-07,3.214265e-08,1.0,False
37,aug_0_8632.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-lasem\aug_0_8632.jpeg,12,batik-lasem,12,batik-lasem,0.525756,12,batik-lasem,0.525756,True,5.811453e-07,4.513281e-08,1.0,False
38,aug_0_9703.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-lasem\aug_0_9703.jpeg,12,batik-lasem,9,batik-gentongan,0.563982,9,batik-gentongan,0.563982,True,2.980232e-07,2.179814e-08,1.0,False
39,aug_0_2499.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-lasem\aug_0_2499.jpeg,12,batik-lasem,12,batik-lasem,0.671128,12,batik-lasem,0.671128,True,1.825392e-07,1.707437e-08,1.0,False
40,aug_0_4349.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-megamendung\aug_0_4349.jpeg,13,batik-megamendung,13,batik-megamendung,0.533708,13,batik-megamendung,0.533707,True,1.251698e-06,8.695148e-08,1.0,False
41,aug_0_3533.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-megamendung\aug_0_3533.jpeg,13,batik-megamendung,13,batik-megamendung,0.713036,13,batik-megamendung,0.713038,True,2.086163e-06,1.145493e-07,1.00000012,False
42,aug_0_2204.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-megamendung\aug_0_2204.jpeg,13,batik-megamendung,13,batik-megamendung,0.999644,13,batik-megamendung,0.999644,True,1.192093e-07,3.454022e-09,1.00000012,False
43,aug_0_2133.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-parang\aug_0_2133.jpeg,14,batik-parang,14,batik-parang,0.970391,14,batik-parang,0.970391,True,1.788139e-07,8.818613e-09,1.0,False
44,aug_0_4059.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-parang\aug_0_4059.jpeg,14,batik-parang,14,batik-parang,0.999918,14,batik-parang,0.999918,True,3.819878e-11,4.459373e-12,1.0,False
45,aug_0_3555.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-parang\aug_0_3555.jpeg,14,batik-parang,14,batik-parang,0.982018,14,batik-parang,0.982018,True,1.192093e-07,4.977204e-09,1.0,False
46,aug_0_6363.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-pekalongan\aug_0_6363.jpeg,15,batik-pekalongan,2,batik-bali,0.704218,2,batik-bali,0.704218,True,3.576279e-07,1.985208e-08,1.0,False
47,aug_0_9361.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-pekalongan\aug_0_9361.jpeg,15,batik-pekalongan,15,batik-pekalongan,0.893186,15,batik-pekalongan,0.893185,True,4.172325e-07,2.304593e-08,0.99999994,False
48,aug_0_6320.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-pekalongan\aug_0_6320.jpeg,15,batik-pekalongan,23,Jawa_Timur_Pring,0.514894,23,Jawa_Timur_Pring,0.514894,True,1.788139e-07,1.142123e-08,1.00000012,False
49,aug_0_4823.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-priangan\aug_0_4823.jpeg,16,batik-priangan,16,batik-priangan,0.507288,16,batik-priangan,0.507289,True,1.728535e-06,9.783222e-08,0.99999988,False
50,aug_0_8487.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-priangan\aug_0_8487.jpeg,16,batik-priangan,2,batik-bali,0.442732,2,batik-bali,0.442733,True,7.450581e-07,4.993278e-08,1.0,False
51,aug_0_9404.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-priangan\aug_0_9404.jpeg,16,batik-priangan,16,batik-priangan,0.5955,16,batik-priangan,0.595501,True,1.311302e-06,7.612598e-08,1.0,False
52,aug_0_7690.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sekar\aug_0_7690.jpeg,17,batik-sekar,16,batik-priangan,0.284368,16,batik-priangan,0.284368,True,1.490116e-07,3.148711e-08,0.99999988,False
53,aug_0_8524.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sekar\aug_0_8524.jpeg,17,batik-sekar,17,batik-sekar,0.712741,17,batik-sekar,0.712738,True,2.264977e-06,1.270131e-07,0.99999988,False
54,aug_0_6948.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sekar\aug_0_6948.jpeg,17,batik-sekar,21,batik-tambal,0.839803,21,batik-tambal,0.839803,True,5.364418e-07,2.923334e-08,1.00000012,False
55,aug_0_8420.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sidoluhur\aug_0_8420.jpeg,18,batik-sidoluhur,18,batik-sidoluhur,0.980239,18,batik-sidoluhur,0.980239,True,1.192093e-07,4.827255e-09,1.0,False
56,aug_0_5949.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sidoluhur\aug_0_5949.jpeg,18,batik-sidoluhur,20,batik-sogan,0.161418,20,batik-sogan,0.161418,True,9.089708e-07,6.968649e-08,1.00000012,False
57,aug_0_5988.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sidoluhur\aug_0_5988.jpeg,18,batik-sidoluhur,18,batik-sidoluhur,0.83967,18,batik-sidoluhur,0.839671,True,5.960464e-07,3.064383e-08,0.99999994,False
58,aug_0_5638.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sidomukti\aug_0_5638.jpeg,19,batik-sidomukti,19,batik-sidomukti,0.722395,19,batik-sidomukti,0.722394,True,1.013279e-06,5.661541e-08,1.0,False
59,aug_0_3157.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sidomukti\aug_0_3157.jpeg,19,batik-sidomukti,19,batik-sidomukti,0.64267,19,batik-sidomukti,0.642671,True,7.152557e-07,3.943094e-08,1.00000024,False
60,aug_0_2449.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sidomukti\aug_0_2449.jpeg,19,batik-sidomukti,19,batik-sidomukti,0.983169,19,batik-sidomukti,0.983169,True,2.444722e-09,2.14854e-10,1.0,False
61,aug_0_8713.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sogan\aug_0_8713.jpeg,20,batik-sogan,20,batik-sogan,0.999313,20,batik-sogan,0.999313,True,5.238689e-10,4.31206e-11,0.99999994,False
62,aug_0_6104.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sogan\aug_0_6104.jpeg,20,batik-sogan,20,batik-sogan,0.993745,20,batik-sogan,0.993745,True,1.722947e-08,5.736097e-10,0.99999994,False
63,aug_0_6330.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-sogan\aug_0_6330.jpeg,20,batik-sogan,20,batik-sogan,0.953455,20,batik-sogan,0.953454,True,3.576279e-07,1.702682e-08,1.0,False
64,aug_0_8212.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-tambal\aug_0_8212.jpeg,21,batik-tambal,21,batik-tambal,0.81762,21,batik-tambal,0.81762,True,1.080334e-07,9.20862e-09,1.0,False
65,aug_0_7961.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-tambal\aug_0_7961.jpeg,21,batik-tambal,21,batik-tambal,0.977376,21,batik-tambal,0.977376,True,1.192093e-07,4.149355e-09,0.99999994,False
66,aug_0_8606.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\batik-tambal\aug_0_8606.jpeg,21,batik-tambal,21,batik-tambal,0.999742,21,batik-tambal,0.999742,True,2.328306e-10,1.546368e-11,1.0,False
67,aug_0_9240.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\DKI_Ondel_Ondel\aug_0_9240.jpeg,22,DKI_Ondel_Ondel,22,DKI_Ondel_Ondel,0.984366,22,DKI_Ondel_Ondel,0.984366,True,1.192093e-07,5.004027e-09,1.0,False
68,aug_0_977.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\DKI_Ondel_Ondel\aug_0_977.jpeg,22,DKI_Ondel_Ondel,22,DKI_Ondel_Ondel,0.925044,22,DKI_Ondel_Ondel,0.925043,True,4.172325e-07,1.961304e-08,0.99999994,False
69,aug_0_2259.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\DKI_Ondel_Ondel\aug_0_2259.jpeg,22,DKI_Ondel_Ondel,22,DKI_Ondel_Ondel,0.887768,22,DKI_Ondel_Ondel,0.887768,True,7.748604e-07,3.804392e-08,0.99999994,False
70,aug_0_9260.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Jawa_Timur_Pring\aug_0_9260.jpeg,23,Jawa_Timur_Pring,23,Jawa_Timur_Pring,0.987976,23,Jawa_Timur_Pring,0.987976,True,1.192093e-07,4.402114e-09,1.0,False
71,aug_0_9447.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Jawa_Timur_Pring\aug_0_9447.jpeg,23,Jawa_Timur_Pring,23,Jawa_Timur_Pring,0.917375,23,Jawa_Timur_Pring,0.917375,True,2.384186e-07,1.458166e-08,1.0,False
72,aug_0_2805.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Jawa_Timur_Pring\aug_0_2805.jpeg,23,Jawa_Timur_Pring,23,Jawa_Timur_Pring,0.997451,23,Jawa_Timur_Pring,0.997451,True,3.026798e-09,2.136677e-10,0.99999994,False
73,aug_0_5133.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Kalimantan_Dayak\aug_0_5133.jpeg,24,Kalimantan_Dayak,24,Kalimantan_Dayak,0.999422,24,Kalimantan_Dayak,0.999422,True,3.929017e-10,6.436444e-11,0.99999994,False
74,aug_0_4040.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Kalimantan_Dayak\aug_0_4040.jpeg,24,Kalimantan_Dayak,24,Kalimantan_Dayak,0.995503,24,Kalimantan_Dayak,0.995503,True,5.47152e-09,4.13438e-10,1.00000012,False
75,aug_0_2026.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Kalimantan_Dayak\aug_0_2026.jpeg,24,Kalimantan_Dayak,24,Kalimantan_Dayak,0.999882,24,Kalimantan_Dayak,0.999882,True,6.457412e-11,6.835768e-12,1.0,False
76,aug_0_4893.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Lampung_Gajah\aug_0_4893.jpeg,25,Lampung_Gajah,25,Lampung_Gajah,0.952594,25,Lampung_Gajah,0.952594,True,2.384186e-07,9.290257e-09,1.0,False
77,aug_0_3861.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Lampung_Gajah\aug_0_3861.jpeg,25,Lampung_Gajah,25,Lampung_Gajah,0.957529,25,Lampung_Gajah,0.957529,True,2.384186e-07,1.270618e-08,1.0,False
78,aug_0_1788.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Lampung_Gajah\aug_0_1788.jpeg,25,Lampung_Gajah,25,Lampung_Gajah,0.950319,25,Lampung_Gajah,0.950319,True,1.788139e-07,7.222857e-09,1.0,False
79,aug_0_8621.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Madura_Mataketeran\aug_0_8621.jpeg,26,Madura_Mataketeran,26,Madura_Mataketeran,0.917081,26,Madura_Mataketeran,0.917081,True,1.192093e-07,8.65897e-09,1.0,False
80,aug_0_9749.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Madura_Mataketeran\aug_0_9749.jpeg,26,Madura_Mataketeran,26,Madura_Mataketeran,0.948978,26,Madura_Mataketeran,0.948978,True,3.576279e-07,1.308008e-08,1.00000012,False
81,aug_0_2234.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Madura_Mataketeran\aug_0_2234.jpeg,26,Madura_Mataketeran,26,Madura_Mataketeran,0.993959,26,Madura_Mataketeran,0.993959,True,1.688022e-09,3.223559e-10,0.99999994,False
82,aug_0_5110.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Maluku_Pala\aug_0_5110.jpeg,27,Maluku_Pala,27,Maluku_Pala,0.970366,27,Maluku_Pala,0.970366,True,3.911555e-08,1.981338e-09,1.00000012,False
83,aug_0_3963.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Maluku_Pala\aug_0_3963.jpeg,27,Maluku_Pala,27,Maluku_Pala,0.922878,27,Maluku_Pala,0.922878,True,1.192093e-07,7.362966e-09,0.99999994,False
84,aug_0_1850.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Maluku_Pala\aug_0_1850.jpeg,27,Maluku_Pala,27,Maluku_Pala,0.992951,27,Maluku_Pala,0.992951,True,1.192093e-07,4.185978e-09,1.0,False
85,aug_0_9206.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\NTB_Lumbung\aug_0_9206.jpeg,28,NTB_Lumbung,28,NTB_Lumbung,0.991838,28,NTB_Lumbung,0.991838,True,1.192093e-07,4.132445e-09,0.99999994,False
86,aug_0_9555.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\NTB_Lumbung\aug_0_9555.jpeg,28,NTB_Lumbung,28,NTB_Lumbung,0.985698,28,NTB_Lumbung,0.985698,True,1.234002e-08,1.824235e-09,1.0,False
87,aug_0_2149.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\NTB_Lumbung\aug_0_2149.jpeg,28,NTB_Lumbung,28,NTB_Lumbung,0.6687,28,NTB_Lumbung,0.6687,True,1.005828e-07,1.217157e-08,1.00000012,False
88,aug_0_44.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Papua_Asmat\aug_0_44.jpeg,29,Papua_Asmat,29,Papua_Asmat,0.941451,29,Papua_Asmat,0.941451,True,1.192093e-07,8.146647e-09,1.0,False
89,aug_0_3303.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Papua_Asmat\aug_0_3303.jpeg,29,Papua_Asmat,29,Papua_Asmat,0.88222,29,Papua_Asmat,0.882219,True,4.172325e-07,2.730882e-08,1.00000012,False
90,aug_0_1875.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Papua_Asmat\aug_0_1875.jpeg,29,Papua_Asmat,29,Papua_Asmat,0.985014,29,Papua_Asmat,0.985014,True,1.192093e-07,6.322045e-09,0.99999994,False
91,aug_0_8115.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Papua_Cendrawasih\aug_0_8115.jpeg,30,Papua_Cendrawasih,30,Papua_Cendrawasih,0.995026,30,Papua_Cendrawasih,0.995026,True,3.376044e-09,2.378618e-10,1.0,False
92,aug_0_9443.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Papua_Cendrawasih\aug_0_9443.jpeg,30,Papua_Cendrawasih,30,Papua_Cendrawasih,0.812836,30,Papua_Cendrawasih,0.812837,True,4.172325e-07,2.275431e-08,1.0,False
93,aug_0_2044.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Papua_Cendrawasih\aug_0_2044.jpeg,30,Papua_Cendrawasih,30,Papua_Cendrawasih,0.999353,30,Papua_Cendrawasih,0.999353,True,1.200533e-09,1.364229e-10,1.00000012,False
94,aug_0_3298.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Papua_Tifa\aug_0_3298.jpeg,31,Papua_Tifa,31,Papua_Tifa,0.996271,31,Papua_Tifa,0.996271,True,3.376044e-09,2.991314e-10,1.0,False
95,aug_0_2892.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Papua_Tifa\aug_0_2892.jpeg,31,Papua_Tifa,31,Papua_Tifa,0.999899,31,Papua_Tifa,0.999899,True,1.527951e-10,9.285471e-12,1.0,False
96,aug_0_15.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Papua_Tifa\aug_0_15.jpeg,31,Papua_Tifa,31,Papua_Tifa,0.856476,31,Papua_Tifa,0.856476,True,3.576279e-07,2.273995e-08,1.00000012,False
97,aug_0_8141.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Sulawesi_Selatan_Lontara\aug_0_8141.jpeg,32,Sulawesi_Selatan_Lontara,32,Sulawesi_Selatan_Lontara,0.991623,32,Sulawesi_Selatan_Lontara,0.991623,True,1.192093e-07,3.971706e-09,1.00000012,False
98,aug_0_8451.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Sulawesi_Selatan_Lontara\aug_0_8451.jpeg,32,Sulawesi_Selatan_Lontara,32,Sulawesi_Selatan_Lontara,0.999997,32,Sulawesi_Selatan_Lontara,0.999997,True,2.785328e-12,1.949459e-13,1.0,False
99,aug_0_1672.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Sulawesi_Selatan_Lontara\aug_0_1672.jpeg,32,Sulawesi_Selatan_Lontara,32,Sulawesi_Selatan_Lontara,0.986938,32,Sulawesi_Selatan_Lontara,0.986938,True,6.053597e-09,5.356896e-10,1.00000012,False
100,aug_0_7150.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Sumatera_Barat_Rumah_Minang\aug_0_7150.jpeg,33,Sumatera_Barat_Rumah_Minang,33,Sumatera_Barat_Rumah_Minang,0.999595,33,Sumatera_Barat_Rumah_Minang,0.999595,True,9.749783e-10,1.167828e-10,1.0,False
101,aug_0_9698.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Sumatera_Barat_Rumah_Minang\aug_0_9698.jpeg,33,Sumatera_Barat_Rumah_Minang,33,Sumatera_Barat_Rumah_Minang,0.996262,33,Sumatera_Barat_Rumah_Minang,0.996262,True,1.862645e-09,1.802807e-10,1.00000012,False
102,aug_0_167.jpeg,Z:\Projects\Batik\datasets\raw\dataset_augmented\Sumatera_Barat_Rumah_Minang\aug_0_167.jpeg,33,Sumatera_Barat_Rumah_Minang,33,Sumatera_Barat_Rumah_Minang,0.943898,33,Sumatera_Barat_Rumah_Minang,0.943898,True,8.754432e-08,3.534145e-09,1.0,False
